hPossesion,aPossesion,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hfouls,afouls,hsaves,asaves,label
39,61,6,3,8,15,14,13,1,3,1
40,60,5,3,19,9,6,16,3,4,1
54,46,7,1,22,11,23,14,0,5,1
43,57,4,5,12,15,11,5,5,2,1
60,40,7,2,16,4,15,16,2,5,1
67,33,7,1,21,5,10,14,1,6,1
26,74,4,3,6,9,7,10,3,2,1
37,63,1,9,3,17,19,9,6,0,2
68,32,2,1,6,7,22,19,1,1,1
65,35,5,2,19,9,19,17,1,2,1
29,71,0,9,1,22,10,6,5,0,2
